"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ECE","533","Advanced Computer Comm","2949","Electrical & Computer Engr","3","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","Seferoglu, Hulya","16"
"ECE","534","Elements of Info Theory","2949","Electrical & Computer Engr","5","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Devroye, Natasha","10"
"ECE","540","Physics Semicond Devices","2949","Electrical & Computer Engr","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Chase, Zizwe","17"
"ECE","559","Neural Networks","2949","Electrical & Computer Engr","11","16","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Koyuncu, Erdem","32"
"ECE","568","Advanced Micro Arch","2949","Electrical & Computer Engr","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zhang, Zhao","10"
"ECE","595","Departmental Seminar","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","42","4","1","Zhu, Zhichun","47"
"ECE","599","PhD Thesis Research","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","Mazumder, Sudip","10"
"ECE","599","PhD Thesis Research","2949","Electrical & Computer Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Partin Vaisband, Inna","10"
"ENGR","100","BME ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","3","0","0","0","0","43","0","0","Narubin Durbin, Simona Ieva","46"
"ENGR","100","BME ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","2","0","0","0","0","20","1","0","Wang, Zhinan","23"
"ENGR","100","CHE ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","1","0","0","0","0","18","0","0","Narubin Durbin, Simona Ieva","19"
"ENGR","100","CHE ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","Narubin Durbin, Simona Ieva","10"
"ENGR","100","CME ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","12","0","0","0","0","55","2","1","Narubin Durbin, Simona Ieva","70"
