"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"FR","103","Intermediate French I","2943","French and Francophone Studies","26","13","3","1","1","0","0","0","0","0","0","0","0","0","0","1","Chidlow, Angela","45"
"FR","103","Intermediate French I","2943","French and Francophone Studies","18","17","6","3","1","0","0","0","0","0","0","0","0","0","0","1","Kenneth, Kolade Matthew","46"
"FR","104","Intermediate French II","2943","French and Francophone Studies","8","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","Lapotre, Carly A","15"
"FR","104","Intermediate French II","2943","French and Francophone Studies","15","15","4","2","2","0","0","0","0","0","0","0","0","0","0","2","Liberius, Laurie","40"
"FR","296","Independent Study","2943","French and Francophone Studies","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Weber, Elizabeth D","12"
"FR","297","Paris in Lit, Film and Culture","2943","French and Francophone Studies","17","6","2","0","2","0","0","0","1","0","0","0","0","0","0","1","Hoselton, Jessica Leigh Thornton","29"
"FR","301","Topics in Literature","2943","French and Francophone Studies","5","5","0","0","1","0","0","0","1","0","0","0","0","0","0","1","McClure, Ellen M","13"
"GEOG","161","Intro to Economic Geog","2841","Anthropology","37","47","27","9","6","0","0","0","0","0","0","0","0","0","0","7","Mullee, John O'Donnell","133"
"GER","100","Intro Germanic Cult & Lit","2291","Germanic Studies","11","5","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Sadikou, Nadjib Irewole","19"
"GER","101","Elementary German I","2291","Germanic Studies","15","7","2","0","1","0","0","0","0","0","0","0","0","0","0","2","Falaiye, Ruth Ireti","27"
"GER","101","Elementary German I","2291","Germanic Studies","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","Janatka, Emma Claire","12"
"GER","102","Elementary German II","2291","Germanic Studies","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Marks, Ian Frederick","12"
"GER","103","Intermediate German I","2291","Germanic Studies","5","6","2","1","0","0","0","0","0","0","0","0","0","0","0","1","Tchatakoura, Essowazina","15"
"GER","104","Intermediate German II","2291","Germanic Studies","4","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","Adamczyk, Wiktoria Beata","12"
"GER","217","Intro German Cinema","2291","Germanic Studies","18","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","Adamczyk, Wiktoria Beata","25"
"GER","217","Intro German Cinema","2291","Germanic Studies","22","4","4","1","2","0","0","0","0","0","0","0","0","0","0","4","Meyer, Imke","37"
"GKM","101","Elem Modern Greek I","2349","Classics & Mediterran Studies","10","1","3","1","0","0","0","0","0","0","0","0","0","0","0","3","Tzirides, Anastasia Olga","18"
"GKM","105","Modern Greek Culture","2349","Classics & Mediterran Studies","28","6","2","0","1","0","0","0","0","0","0","0","0","0","0","5","Tzirides, Anastasia Olga","42"
"GLAS","100","Intro to Global Asian Studies","2873","Prog in Global Asian Studies","15","22","19","6","16","0","0","0","1","0","0","0","0","0","0","18","Chiang, Mark","97"
"GLAS","105","Asian Am Iden Cultures & Comm","2873","Prog in Global Asian Studies","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ignacio, Julian Rey","30"
"GLAS","120","Intro Asian Amer Studies","2873","Prog in Global Asian Studies","9","9","2","1","2","0","0","0","1","0","0","0","0","0","0","1","Su, Karen","25"
"GLAS","210","Asian American Histories","2873","Prog in Global Asian Studies","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Jin, Michael","17"
"GLAS","217","Intro to Filipino Amer Studies","2873","Prog in Global Asian Studies","17","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Guevarra, Anna","20"
"GLAS","229","Intro to Asian Film","2873","Prog in Global Asian Studies","3","3","4","2","1","0","0","0","0","0","0","0","0","0","0","2","Chiang, Mark","15"
"GLAS","271","Late Imperial China","2316","History","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Hostetler, Laura E","14"
"GLAS","276","Modern South Asia","2316","History","1","4","4","6","0","0","0","0","0","0","0","0","0","0","0","1","Majumdar, Sohini","16"
"GWS","101","Gender in Everyday Life","2369","Gender and Women's Studies","65","33","16","6","13","0","0","0","0","0","0","0","0","0","0","9","Ash, Jennifer Scism","142"
"GWS","102","Global Women & Gender","2369","Gender and Women's Studies","55","27","7","8","23","0","0","0","5","0","0","0","0","0","0","14","Celeste, Manoucheka","139"
"GWS","203","Introduction to LGBTQ Studies","2369","Gender and Women's Studies","16","9","1","2","0","0","0","0","0","0","0","0","0","0","0","1","Brown, Deziree","29"
"GWS","204","Gender and Popular Culture","2369","Gender and Women's Studies","11","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Kapadia, Ronak","16"
"GWS","272","Race, Gender, and Sexuality","2363","Black Studies","8","4","1","0","1","0","0","0","0","0","0","0","0","0","0","2","Bost, Darius","16"
"GWS","276","Latinas in US","2988","Latin American &Latino Studies","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Gutierrez, Elena Rebeca","13"
"GWS","292","History & Theory of Feminism","2369","Gender and Women's Studies","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Moruzzi, Norma Claire","12"
"GWS","501","Feminist Theories","2369","Gender and Women's Studies","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bost, Darius","13"
"HIST","100","Western Civ To 1648","2316","History","25","30","25","7","6","0","0","0","2","0","0","0","0","0","0","5","Abbott, John","100"
"HIST","101","Western Civ Since 1648","2316","History","59","22","10","2","4","0","0","0","0","0","0","0","0","0","0","2","Balserak, Jon","99"
"HIST","101","Western Civ Since 1648","2316","History","55","21","7","1","5","0","0","0","0","0","0","0","0","0","0","11","Connolly, Jonathan","100"
"HIST","103","Early America","2316","History","19","33","27","11","5","0","0","0","0","0","0","0","0","0","0","5","Barton, Sarah Rachelle","100"
